name,year,runs,runsaginst
"Detroit Tigers",1962,758,692
"Houston Colt .45's",1962,592,717
"Kansas City Athletics",1962,745,837
"Los Angeles Angels",1962,718,706
"Los Angeles Dodgers",1962,842,697
"Minnesota Twins",1962,798,713
"Milwaukee Braves",1962,730,665
"New York Yankees",1962,817,680
"New York Mets",1962,617,948
"Philadelphia Phillies",1962,705,759
"Pittsburgh Pirates",1962,706,626
"San Francisco Giants",1962,878,690
"St. Louis Cardinals",1962,774,664
"Washington Senators",1962,599,716
"Baltimore Orioles",1963,644,621
"Boston Red Sox",1963,666,704
"Chicago White Sox",1963,683,544
"Chicago Cubs",1963,570,578
"Cincinnati Reds",1963,648,594
"Cleveland Indians",1963,635,702
"Detroit Tigers",1963,700,703
"Houston Colt .45's",1963,464,640
"Kansas City Athletics",1963,615,704
"Los Angeles Angels",1963,597,660
"Los Angeles Dodgers",1963,640,550
"Minnesota Twins",1963,767,602
"Milwaukee Braves",1963,677,603
"New York Yankees",1963,714,547
"New York Mets",1963,501,774
"Philadelphia Phillies",1963,642,578
"Pittsburgh Pirates",1963,567,595
"San Francisco Giants",1963,725,641
"St. Louis Cardinals",1963,747,628
"Washington Senators",1963,578,812
"Baltimore Orioles",1964,679,567
"Boston Red Sox",1964,688,793
"Chicago White Sox",1964,642,501
"Chicago Cubs",1964,649,724
"Cincinnati Reds",1964,660,566
"Cleveland Indians",1964,689,693
"Detroit Tigers",1964,699,678
"Houston Colt .45's",1964,495,628
"Kansas City Athletics",1964,621,836
"Los Angeles Angels",1964,544,551
"Los Angeles Dodgers",1964,614,572
"Minnesota Twins",1964,737,678
"Milwaukee Braves",1964,803,744
"New York Yankees",1964,730,577
"New York Mets",1964,569,776
"Philadelphia Phillies",1964,693,632
"Pittsburgh Pirates",1964,663,636
"San Francisco Giants",1964,656,587
"St. Louis Cardinals",1964,715,652
"Washington Senators",1964,578,733
"Baltimore Orioles",1965,641,578
"Boston Red Sox",1965,669,791
"California Angels",1965,527,569
"Chicago White Sox",1965,647,555
"Chicago Cubs",1965,635,723
"Cincinnati Reds",1965,825,704
"Cleveland Indians",1965,663,613
"Detroit Tigers",1965,680,602
"Houston Astros",1965,569,711
"Kansas City Athletics",1965,585,755
"Los Angeles Dodgers",1965,608,521
"Minnesota Twins",1965,774,600
"Milwaukee Braves",1965,708,633
"New York Yankees",1965,611,604
"New York Mets",1965,495,752
"Philadelphia Phillies",1965,654,667
"Pittsburgh Pirates",1965,675,580
"San Francisco Giants",1965,682,593
"St. Louis Cardinals",1965,707,674
"Washington Senators",1965,591,721
"Atlanta Braves",1966,782,683
"Baltimore Orioles",1966,755,601
"Boston Red Sox",1966,655,731
"California Angels",1966,604,643
"Chicago White Sox",1966,574,517
"Chicago Cubs",1966,644,809
"Cincinnati Reds",1966,692,702
"Cleveland Indians",1966,574,586
"Detroit Tigers",1966,719,698
"Houston Astros",1966,612,695
"Kansas City Athletics",1966,564,648
"Los Angeles Dodgers",1966,606,490
"Minnesota Twins",1966,663,581
"New York Yankees",1966,611,612
"New York Mets",1966,587,761
"Philadelphia Phillies",1966,696,640
"Pittsburgh Pirates",1966,759,641
"San Francisco Giants",1966,675,626
"St. Louis Cardinals",1966,571,577
"Washington Senators",1966,557,659
"Atlanta Braves",1967,631,640
"Baltimore Orioles",1967,654,592
"Boston Red Sox",1967,722,614
"California Angels",1967,567,587
"Chicago White Sox",1967,531,491
"Chicago Cubs",1967,702,624
"Cincinnati Reds",1967,604,563
"Cleveland Indians",1967,559,613
"Detroit Tigers",1967,683,587
"Houston Astros",1967,626,742
"Kansas City Athletics",1967,533,660
"Los Angeles Dodgers",1967,519,595
"Minnesota Twins",1967,671,590
"New York Yankees",1967,522,621
"New York Mets",1967,498,672
"Philadelphia Phillies",1967,612,581
"Pittsburgh Pirates",1967,679,693
"San Francisco Giants",1967,652,551
"St. Louis Cardinals",1967,695,557
"Washington Senators",1967,550,637
"Atlanta Braves",1968,514,549
"Baltimore Orioles",1968,579,497
"Boston Red Sox",1968,614,611
"California Angels",1968,498,615
"Chicago White Sox",1968,463,527
"Chicago Cubs",1968,612,611
"Cincinnati Reds",1968,690,673
"Cleveland Indians",1968,516,504
"Detroit Tigers",1968,671,492
"Houston Astros",1968,510,588
"Los Angeles Dodgers",1968,470,509
"Minnesota Twins",1968,562,546
"New York Yankees",1968,536,531
"New York Mets",1968,473,499
"Oakland Athletics",1968,569,544
"Philadelphia Phillies",1968,543,615
"Pittsburgh Pirates",1968,583,532
"San Francisco Giants",1968,599,529
"St. Louis Cardinals",1968,583,472
"Washington Senators",1968,524,665
"Atlanta Braves",1969,691,631
"Baltimore Orioles",1969,779,517
"Boston Red Sox",1969,743,736
"California Angels",1969,528,652
"Chicago White Sox",1969,625,723
"Chicago Cubs",1969,720,611
"Cincinnati Reds",1969,798,768
"Cleveland Indians",1969,573,717
"Detroit Tigers",1969,701,601
"Houston Astros",1969,676,668
"Kansas City Royals",1969,586,688
"Los Angeles Dodgers",1969,645,561
"Minnesota Twins",1969,790,618
"Montreal Expos",1969,582,791
"New York Yankees",1969,562,587
"New York Mets",1969,632,541
"Oakland Athletics",1969,740,678
"Philadelphia Phillies",1969,645,745
"Pittsburgh Pirates",1969,725,652
"San Diego Padres",1969,468,746
"Seattle Pilots",1969,639,799
"San Francisco Giants",1969,713,636
"St. Louis Cardinals",1969,595,540
"Washington Senators",1969,694,644
"Atlanta Braves",1970,736,772
"Baltimore Orioles",1970,792,574
"Boston Red Sox",1970,786,722
"California Angels",1970,631,630
"Chicago White Sox",1970,633,822
"Chicago Cubs",1970,806,679
"Cincinnati Reds",1970,775,681
"Cleveland Indians",1970,649,675
"Detroit Tigers",1970,666,731
"Houston Astros",1970,744,763
"Kansas City Royals",1970,611,705
"Los Angeles Dodgers",1970,749,684
"Minnesota Twins",1970,744,605
"Milwaukee Brewers",1970,613,751
"Montreal Expos",1970,687,807
"New York Yankees",1970,680,612
"New York Mets",1970,695,630
"Oakland Athletics",1970,678,593
"Philadelphia Phillies",1970,594,730
"Pittsburgh Pirates",1970,729,664
"San Diego Padres",1970,681,788
"San Francisco Giants",1970,831,826
"St. Louis Cardinals",1970,744,747
"Washington Senators",1970,626,689
"Atlanta Braves",1971,643,699
"Baltimore Orioles",1971,742,530
"Boston Red Sox",1971,691,667
"California Angels",1971,511,576
"Chicago White Sox",1971,617,597
"Chicago Cubs",1971,637,648
"Cincinnati Reds",1971,586,581
"Cleveland Indians",1971,543,747
"Detroit Tigers",1971,701,645
"Houston Astros",1971,585,567
"Kansas City Royals",1971,603,566
"Los Angeles Dodgers",1971,663,587
"Minnesota Twins",1971,654,670
"Milwaukee Brewers",1971,534,609
"Montreal Expos",1971,622,729
"New York Yankees",1971,648,641
"New York Mets",1971,588,550
"Oakland Athletics",1971,691,564
"Philadelphia Phillies",1971,558,688
"Pittsburgh Pirates",1971,788,599
"San Diego Padres",1971,486,610
"San Francisco Giants",1971,706,644
"St. Louis Cardinals",1971,739,699
"Washington Senators",1971,537,660
"Atlanta Braves",1972,628,730
"Baltimore Orioles",1972,519,430
"Boston Red Sox",1972,640,620
"California Angels",1972,454,533
"Chicago White Sox",1972,566,538
"Chicago Cubs",1972,685,567
"Cincinnati Reds",1972,707,557
"Cleveland Indians",1972,472,519
"Detroit Tigers",1972,558,514
"Houston Astros",1972,708,636
"Kansas City Royals",1972,580,545
"Los Angeles Dodgers",1972,584,527
"Minnesota Twins",1972,537,535
"Milwaukee Brewers",1972,493,595
"Montreal Expos",1972,513,609
"New York Yankees",1972,557,527
"New York Mets",1972,528,578
"Oakland Athletics",1972,604,457
"Philadelphia Phillies",1972,503,635
"Pittsburgh Pirates",1972,691,512
"San Diego Padres",1972,488,665
"San Francisco Giants",1972,662,649
"St. Louis Cardinals",1972,568,600
"Texas Rangers",1972,461,628
"Atlanta Braves",1973,799,774
"Baltimore Orioles",1973,754,561
"Boston Red Sox",1973,738,647
"California Angels",1973,629,657
"Chicago White Sox",1973,652,705
"Chicago Cubs",1973,614,655
"Cincinnati Reds",1973,741,621
"Cleveland Indians",1973,680,826
"Detroit Tigers",1973,642,674
"Houston Astros",1973,681,672
"Kansas City Royals",1973,755,752
"Los Angeles Dodgers",1973,675,565
"Minnesota Twins",1973,738,692
"Milwaukee Brewers",1973,708,731
"Montreal Expos",1973,668,702
"New York Yankees",1973,641,610
"New York Mets",1973,608,588
"Oakland Athletics",1973,758,615
"Philadelphia Phillies",1973,642,717
"Pittsburgh Pirates",1973,704,693
"San Diego Padres",1973,548,770
"San Francisco Giants",1973,739,702
"St. Louis Cardinals",1973,643,603
"Texas Rangers",1973,619,844
"Atlanta Braves",1974,661,563
"Baltimore Orioles",1974,659,612
"Boston Red Sox",1974,696,661
"California Angels",1974,618,657
"Chicago White Sox",1974,684,721
"Chicago Cubs",1974,669,826
"Cincinnati Reds",1974,776,631
"Cleveland Indians",1974,662,694
"Detroit Tigers",1974,620,768
"Houston Astros",1974,653,632
"Kansas City Royals",1974,667,662
"Los Angeles Dodgers",1974,798,561
"Minnesota Twins",1974,673,669
"Milwaukee Brewers",1974,647,660
"Montreal Expos",1974,662,657
"New York Yankees",1974,671,623
"New York Mets",1974,572,646
"Oakland Athletics",1974,689,551
"Philadelphia Phillies",1974,676,701
"Pittsburgh Pirates",1974,751,657
"San Diego Padres",1974,541,830
"San Francisco Giants",1974,634,723
"St. Louis Cardinals",1974,677,643
"Texas Rangers",1974,690,698
"Atlanta Braves",1975,583,739
"Baltimore Orioles",1975,682,553
"Boston Red Sox",1975,796,709
"California Angels",1975,628,723
"Chicago White Sox",1975,655,703
"Chicago Cubs",1975,712,827
"Cincinnati Reds",1975,840,586
"Cleveland Indians",1975,688,703
"Detroit Tigers",1975,570,786
"Houston Astros",1975,664,711
"Kansas City Royals",1975,710,649
"Los Angeles Dodgers",1975,648,534
"Minnesota Twins",1975,724,736
"Milwaukee Brewers",1975,675,792
"Montreal Expos",1975,601,690
"New York Yankees",1975,681,588
"New York Mets",1975,646,625
"Oakland Athletics",1975,758,606
"Philadelphia Phillies",1975,735,694
"Pittsburgh Pirates",1975,712,565
"San Diego Padres",1975,552,683
"San Francisco Giants",1975,659,671
"St. Louis Cardinals",1975,662,689
"Texas Rangers",1975,714,733
"Atlanta Braves",1976,620,700
"Baltimore Orioles",1976,619,598
"Boston Red Sox",1976,716,660
"California Angels",1976,550,631
"Chicago White Sox",1976,586,745
"Chicago Cubs",1976,611,728
"Cincinnati Reds",1976,857,633
"Cleveland Indians",1976,615,615
"Detroit Tigers",1976,609,709
"Houston Astros",1976,625,657
"Kansas City Royals",1976,713,611
"Los Angeles Dodgers",1976,608,543
"Minnesota Twins",1976,743,704
"Milwaukee Brewers",1976,570,655
"Montreal Expos",1976,531,734
"New York Yankees",1976,730,575
"New York Mets",1976,615,538
"Oakland Athletics",1976,686,598
"Philadelphia Phillies",1976,770,557
"Pittsburgh Pirates",1976,708,630
"San Diego Padres",1976,570,662
"San Francisco Giants",1976,595,686
"St. Louis Cardinals",1976,629,671
"Texas Rangers",1976,616,652
"Atlanta Braves",1977,678,895
"Baltimore Orioles",1977,719,653
"Boston Red Sox",1977,859,712
"California Angels",1977,675,695
"Chicago White Sox",1977,844,771
"Chicago Cubs",1977,692,739
"Cincinnati Reds",1977,802,725
"Cleveland Indians",1977,676,739
"Detroit Tigers",1977,714,751
"Houston Astros",1977,680,650
"Kansas City Royals",1977,822,651
"Los Angeles Dodgers",1977,769,582
"Minnesota Twins",1977,867,776
"Milwaukee Brewers",1977,639,765
"Montreal Expos",1977,665,736
"New York Yankees",1977,831,651
"New York Mets",1977,587,663
"Oakland Athletics",1977,605,749
"Philadelphia Phillies",1977,847,668
"Pittsburgh Pirates",1977,734,665
"San Diego Padres",1977,692,834
"Seattle Mariners",1977,624,855
"San Francisco Giants",1977,673,711
"St. Louis Cardinals",1977,737,688
"Texas Rangers",1977,767,657
"Toronto Blue Jays",1977,605,822
"Atlanta Braves",1978,600,750
"Baltimore Orioles",1978,659,633
"Boston Red Sox",1978,796,657
"California Angels",1978,691,666
"Chicago White Sox",1978,634,731
"Chicago Cubs",1978,664,724
"Cincinnati Reds",1978,710,688
"Cleveland Indians",1978,639,694
"Detroit Tigers",1978,714,653
"Houston Astros",1978,605,634
"Kansas City Royals",1978,743,634
"Los Angeles Dodgers",1978,727,573
"Minnesota Twins",1978,666,678
"Milwaukee Brewers",1978,804,650
"Montreal Expos",1978,633,611
"New York Yankees",1978,735,582
"New York Mets",1978,607,690
"Oakland Athletics",1978,532,690
"Philadelphia Phillies",1978,708,586
"Pittsburgh Pirates",1978,684,637
"San Diego Padres",1978,591,598
"Seattle Mariners",1978,614,834
"San Francisco Giants",1978,613,594
"St. Louis Cardinals",1978,600,657
"Texas Rangers",1978,692,632
"Toronto Blue Jays",1978,590,775
"Atlanta Braves",1979,669,763
"Baltimore Orioles",1979,757,582
"Boston Red Sox",1979,841,711
"California Angels",1979,866,768
"Chicago White Sox",1979,730,748
"Chicago Cubs",1979,706,707
"Cincinnati Reds",1979,731,644
"Cleveland Indians",1979,760,805
"Detroit Tigers",1979,770,738
"Houston Astros",1979,583,582
"Kansas City Royals",1979,851,816
"Los Angeles Dodgers",1979,739,717
"Minnesota Twins",1979,764,725
"Milwaukee Brewers",1979,807,722
"Montreal Expos",1979,701,581
"New York Yankees",1979,734,672
"New York Mets",1979,593,706
"Oakland Athletics",1979,573,860
"Philadelphia Phillies",1979,683,718
"Pittsburgh Pirates",1979,775,643
"San Diego Padres",1979,603,681
"Seattle Mariners",1979,711,820
"San Francisco Giants",1979,672,751
"St. Louis Cardinals",1979,731,693
"Texas Rangers",1979,750,698
"Toronto Blue Jays",1979,613,862
"Atlanta Braves",1980,630,660
"Baltimore Orioles",1980,805,640
"Boston Red Sox",1980,757,767
"California Angels",1980,698,797
"Chicago White Sox",1980,587,722
"Chicago Cubs",1980,614,728
"Cincinnati Reds",1980,707,670
"Cleveland Indians",1980,738,807
"Detroit Tigers",1980,830,757
"Houston Astros",1980,637,589
"Kansas City Royals",1980,809,694
"Los Angeles Dodgers",1980,663,591
"Minnesota Twins",1980,670,724
"Milwaukee Brewers",1980,811,682
"Montreal Expos",1980,694,629
"New York Yankees",1980,820,662
"New York Mets",1980,611,702
"Oakland Athletics",1980,686,642
"Philadelphia Phillies",1980,728,639
"Pittsburgh Pirates",1980,666,646
"San Diego Padres",1980,591,654
"Seattle Mariners",1980,610,793
"San Francisco Giants",1980,573,634
"St. Louis Cardinals",1980,738,710
"Texas Rangers",1980,756,752
"Toronto Blue Jays",1980,624,762
"Atlanta Braves",1981,395,416
"Baltimore Orioles",1981,429,437
"Boston Red Sox",1981,519,481
"California Angels",1981,476,453
"Chicago White Sox",1981,476,423
"Chicago Cubs",1981,370,483
"Cincinnati Reds",1981,464,440
"Cleveland Indians",1981,431,442
"Detroit Tigers",1981,427,404
"Houston Astros",1981,394,331
"Kansas City Royals",1981,397,405
"Los Angeles Dodgers",1981,450,356
"Minnesota Twins",1981,378,486
"Milwaukee Brewers",1981,493,459
"Montreal Expos",1981,443,394
"New York Yankees",1981,421,343
"New York Mets",1981,348,432
"Oakland Athletics",1981,458,403
"Philadelphia Phillies",1981,491,472
"Pittsburgh Pirates",1981,407,425
"San Diego Padres",1981,382,455
"Seattle Mariners",1981,426,521
"San Francisco Giants",1981,427,414
"St. Louis Cardinals",1981,464,417
"Texas Rangers",1981,452,389
"Toronto Blue Jays",1981,329,466
"Atlanta Braves",1982,739,702
"Baltimore Orioles",1982,774,687
"Boston Red Sox",1982,753,713
"California Angels",1982,814,670
"Chicago White Sox",1982,786,710
"Chicago Cubs",1982,676,709
"Cincinnati Reds",1982,545,661
"Cleveland Indians",1982,683,748
"Detroit Tigers",1982,729,685
"Houston Astros",1982,569,620
"Kansas City Royals",1982,784,717
"Los Angeles Dodgers",1982,691,612
"Minnesota Twins",1982,657,819
"Milwaukee Brewers",1982,891,717
"Montreal Expos",1982,697,616
"New York Yankees",1982,709,716
"New York Mets",1982,609,723
"Oakland Athletics",1982,691,819
"Philadelphia Phillies",1982,664,654
"Pittsburgh Pirates",1982,724,696
"San Diego Padres",1982,675,658
"Seattle Mariners",1982,651,712
"San Francisco Giants",1982,673,687
"St. Louis Cardinals",1982,685,609
"Texas Rangers",1982,590,749
"Toronto Blue Jays",1982,651,701
"Atlanta Braves",1983,746,640
"Baltimore Orioles",1983,799,652
"Boston Red Sox",1983,724,775
"California Angels",1983,722,779
"Chicago White Sox",1983,800,650
"Chicago Cubs",1983,701,719
"Cincinnati Reds",1983,623,710
"Cleveland Indians",1983,704,785
"Detroit Tigers",1983,789,679
"Houston Astros",1983,643,646
"Kansas City Royals",1983,696,767
"Los Angeles Dodgers",1983,654,609
"Minnesota Twins",1983,709,822
"Milwaukee Brewers",1983,764,708
"Montreal Expos",1983,677,646
"New York Yankees",1983,770,703
"New York Mets",1983,575,680
"Oakland Athletics",1983,708,782
"Philadelphia Phillies",1983,696,635
"Pittsburgh Pirates",1983,659,648
"San Diego Padres",1983,653,653
"Seattle Mariners",1983,558,740
"San Francisco Giants",1983,687,697
"St. Louis Cardinals",1983,679,710
"Texas Rangers",1983,639,609
"Toronto Blue Jays",1983,795,726
"Atlanta Braves",1984,632,655
"Baltimore Orioles",1984,681,667
"Boston Red Sox",1984,810,764
"California Angels",1984,696,697
"Chicago White Sox",1984,679,736
"Chicago Cubs",1984,762,658
"Cincinnati Reds",1984,627,747
"Cleveland Indians",1984,761,766
"Detroit Tigers",1984,829,643
"Houston Astros",1984,693,630
"Kansas City Royals",1984,673,686
"Los Angeles Dodgers",1984,580,600
"Minnesota Twins",1984,673,675
"Milwaukee Brewers",1984,641,734
"Montreal Expos",1984,593,585
"New York Yankees",1984,758,679
"New York Mets",1984,652,676
"Oakland Athletics",1984,738,796
"Philadelphia Phillies",1984,720,690
"Pittsburgh Pirates",1984,615,567
"San Diego Padres",1984,686,634
"Seattle Mariners",1984,682,774
"San Francisco Giants",1984,682,807
"St. Louis Cardinals",1984,652,645
"Texas Rangers",1984,656,714
"Toronto Blue Jays",1984,750,696
"Atlanta Braves",1985,632,781
"Baltimore Orioles",1985,818,764
"Boston Red Sox",1985,800,720
"California Angels",1985,732,703
"Chicago White Sox",1985,736,720
"Chicago Cubs",1985,686,729
"Cincinnati Reds",1985,677,666
"Cleveland Indians",1985,729,861
"Detroit Tigers",1985,729,688
"Houston Astros",1985,706,691
"Kansas City Royals",1985,687,639
"Los Angeles Dodgers",1985,682,579
"Minnesota Twins",1985,705,782
"Milwaukee Brewers",1985,690,802
"Montreal Expos",1985,633,636
"New York Yankees",1985,839,660
"New York Mets",1985,695,568
"Oakland Athletics",1985,757,787
"Philadelphia Phillies",1985,667,673
"Pittsburgh Pirates",1985,568,708
"San Diego Padres",1985,650,622
"Seattle Mariners",1985,719,818
"San Francisco Giants",1985,556,674
"St. Louis Cardinals",1985,747,572
"Texas Rangers",1985,617,785
"Toronto Blue Jays",1985,759,588
"Atlanta Braves",1986,615,719
"Baltimore Orioles",1986,708,760
"Boston Red Sox",1986,794,696
"California Angels",1986,786,684
"Chicago White Sox",1986,644,699
"Chicago Cubs",1986,680,781
"Cincinnati Reds",1986,732,717
"Cleveland Indians",1986,831,841
"Detroit Tigers",1986,798,714
"Houston Astros",1986,654,569
"Kansas City Royals",1986,654,673
"Los Angeles Dodgers",1986,638,679
"Minnesota Twins",1986,741,839
"Milwaukee Brewers",1986,667,734
"Montreal Expos",1986,637,688
"New York Yankees",1986,797,738
"New York Mets",1986,783,578
"Oakland Athletics",1986,731,760
"Philadelphia Phillies",1986,739,713
"Pittsburgh Pirates",1986,663,700
"San Diego Padres",1986,656,723
"Seattle Mariners",1986,718,835
"San Francisco Giants",1986,698,618
"St. Louis Cardinals",1986,601,611
"Texas Rangers",1986,771,743
"Toronto Blue Jays",1986,809,733
"Atlanta Braves",1987,747,829
"Baltimore Orioles",1987,729,880
"Boston Red Sox",1987,842,825
"California Angels",1987,770,803
"Chicago White Sox",1987,748,746
"Chicago Cubs",1987,720,801
"Cincinnati Reds",1987,783,752
"Cleveland Indians",1987,742,957
"Detroit Tigers",1987,896,735
"Houston Astros",1987,648,678
"Kansas City Royals",1987,715,691
"Los Angeles Dodgers",1987,635,675
"Minnesota Twins",1987,786,806
"Milwaukee Brewers",1987,862,817
"Montreal Expos",1987,741,720
"New York Yankees",1987,788,758
"New York Mets",1987,823,698
"Oakland Athletics",1987,806,789
"Philadelphia Phillies",1987,702,749
"Pittsburgh Pirates",1987,723,744
"San Diego Padres",1987,668,763
"Seattle Mariners",1987,760,801
"San Francisco Giants",1987,783,669
"St. Louis Cardinals",1987,798,693
"Texas Rangers",1987,823,849
"Toronto Blue Jays",1987,845,655
"Atlanta Braves",1988,555,741
"Baltimore Orioles",1988,550,789
"Boston Red Sox",1988,813,689
"California Angels",1988,714,771
"Chicago White Sox",1988,631,757
"Chicago Cubs",1988,660,694
"Cincinnati Reds",1988,641,596
"Cleveland Indians",1988,666,731
"Detroit Tigers",1988,703,658
"Houston Astros",1988,617,631
"Kansas City Royals",1988,704,648
"Los Angeles Dodgers",1988,628,544
"Minnesota Twins",1988,759,672
"Milwaukee Brewers",1988,682,616
"Montreal Expos",1988,628,592
"New York Yankees",1988,772,748
"New York Mets",1988,703,532
"Oakland Athletics",1988,800,620
"Philadelphia Phillies",1988,597,734
"Pittsburgh Pirates",1988,651,616
"San Diego Padres",1988,594,583
"Seattle Mariners",1988,664,744
"San Francisco Giants",1988,670,626
"St. Louis Cardinals",1988,578,633
"Texas Rangers",1988,637,735
"Toronto Blue Jays",1988,763,680
"Atlanta Braves",1989,584,680
"Baltimore Orioles",1989,708,686
"Boston Red Sox",1989,774,735
"California Angels",1989,669,578
"Chicago White Sox",1989,693,750
"Chicago Cubs",1989,702,623
"Cincinnati Reds",1989,632,691
"Cleveland Indians",1989,604,654
"Detroit Tigers",1989,617,816
"Houston Astros",1989,647,669
"Kansas City Royals",1989,690,635
"Los Angeles Dodgers",1989,554,536
"Minnesota Twins",1989,740,738
"Milwaukee Brewers",1989,707,679
"Montreal Expos",1989,632,630
"New York Yankees",1989,698,792
"New York Mets",1989,683,595
"Oakland Athletics",1989,712,576
"Philadelphia Phillies",1989,629,735
"Pittsburgh Pirates",1989,637,680
"San Diego Padres",1989,642,626
"Seattle Mariners",1989,694,728
"San Francisco Giants",1989,699,600
"St. Louis Cardinals",1989,632,608
"Texas Rangers",1989,695,714
"Toronto Blue Jays",1989,731,651
"Atlanta Braves",1990,682,821
"Baltimore Orioles",1990,669,698
"Boston Red Sox",1990,699,664
"California Angels",1990,690,706
"Chicago White Sox",1990,682,633
"Chicago Cubs",1990,690,774
"Cincinnati Reds",1990,693,597
"Cleveland Indians",1990,732,737
"Detroit Tigers",1990,750,754
"Houston Astros",1990,573,656
"Kansas City Royals",1990,707,709
"Los Angeles Dodgers",1990,728,685
"Minnesota Twins",1990,666,729
"Milwaukee Brewers",1990,732,760
"Montreal Expos",1990,662,598
"New York Yankees",1990,603,749
"New York Mets",1990,775,613
"Oakland Athletics",1990,733,570
"Philadelphia Phillies",1990,646,729
"Pittsburgh Pirates",1990,733,619
"San Diego Padres",1990,673,673
"Seattle Mariners",1990,640,680
"San Francisco Giants",1990,719,710
"St. Louis Cardinals",1990,599,698
"Texas Rangers",1990,676,696
"Toronto Blue Jays",1990,767,661
"Atlanta Braves",1991,749,644
"Baltimore Orioles",1991,686,796
"Boston Red Sox",1991,731,712
"California Angels",1991,653,649
"Chicago White Sox",1991,758,681
"Chicago Cubs",1991,695,734
"Cincinnati Reds",1991,689,691
"Cleveland Indians",1991,576,759
"Detroit Tigers",1991,817,794
"Houston Astros",1991,605,717
"Kansas City Royals",1991,727,722
"Los Angeles Dodgers",1991,665,565
"Minnesota Twins",1991,776,652
"Milwaukee Brewers",1991,799,744
"Montreal Expos",1991,579,655
"New York Yankees",1991,674,777
"New York Mets",1991,640,646
"Oakland Athletics",1991,760,776
"Philadelphia Phillies",1991,629,680
"Pittsburgh Pirates",1991,768,632
"San Diego Padres",1991,636,646
"Seattle Mariners",1991,702,674
"San Francisco Giants",1991,649,697
"St. Louis Cardinals",1991,651,648
"Texas Rangers",1991,829,814
"Toronto Blue Jays",1991,684,622
"Atlanta Braves",1992,682,569
"Baltimore Orioles",1992,705,656
"Boston Red Sox",1992,599,669
"California Angels",1992,579,671
"Chicago White Sox",1992,738,690
"Chicago Cubs",1992,593,624
"Cincinnati Reds",1992,660,609
"Cleveland Indians",1992,674,746
"Detroit Tigers",1992,791,794
"Houston Astros",1992,608,668
"Kansas City Royals",1992,610,667
"Los Angeles Dodgers",1992,548,636
"Minnesota Twins",1992,747,653
"Milwaukee Brewers",1992,740,604
"Montreal Expos",1992,648,581
"New York Yankees",1992,733,746
"New York Mets",1992,599,653
"Oakland Athletics",1992,745,672
"Philadelphia Phillies",1992,686,717
"Pittsburgh Pirates",1992,693,595
"San Diego Padres",1992,617,636
"Seattle Mariners",1992,679,799
"San Francisco Giants",1992,574,647
"St. Louis Cardinals",1992,631,604
"Texas Rangers",1992,682,753
"Toronto Blue Jays",1992,780,682
"Atlanta Braves",1993,767,559
"Baltimore Orioles",1993,786,745
"Boston Red Sox",1993,686,698
"California Angels",1993,684,770
"Chicago White Sox",1993,776,664
"Chicago Cubs",1993,738,739
"Cincinnati Reds",1993,722,785
"Cleveland Indians",1993,790,813
"Colorado Rockies",1993,758,967
"Detroit Tigers",1993,899,837
"Florida Marlins",1993,581,724
"Houston Astros",1993,716,630
"Kansas City Royals",1993,675,694
"Los Angeles Dodgers",1993,675,662
"Minnesota Twins",1993,693,830
"Milwaukee Brewers",1993,733,792
"Montreal Expos",1993,732,682
"New York Yankees",1993,821,761
"New York Mets",1993,672,744
"Oakland Athletics",1993,715,846
"Philadelphia Phillies",1993,877,740
"Pittsburgh Pirates",1993,707,806
"San Diego Padres",1993,679,772
"Seattle Mariners",1993,734,731
"San Francisco Giants",1993,808,636
"St. Louis Cardinals",1993,758,744
"Texas Rangers",1993,835,751
"Toronto Blue Jays",1993,847,742
"Atlanta Braves",1994,542,448
"Baltimore Orioles",1994,589,497
"Boston Red Sox",1994,552,621
"California Angels",1994,543,660
"Chicago White Sox",1994,633,498
"Chicago Cubs",1994,500,549
"Cincinnati Reds",1994,609,490
"Cleveland Indians",1994,679,562
"Colorado Rockies",1994,573,638
"Detroit Tigers",1994,652,671
"Florida Marlins",1994,468,576
"Houston Astros",1994,602,503
"Kansas City Royals",1994,574,532
"Los Angeles Dodgers",1994,532,509
"Minnesota Twins",1994,594,688
"Milwaukee Brewers",1994,547,586
"Montreal Expos",1994,585,454
"New York Yankees",1994,670,534
"New York Mets",1994,506,526
"Oakland Athletics",1994,549,589
"Philadelphia Phillies",1994,521,497
"Pittsburgh Pirates",1994,466,580
"San Diego Padres",1994,479,531
"Seattle Mariners",1994,569,616
"San Francisco Giants",1994,504,500
"St. Louis Cardinals",1994,535,621
"Texas Rangers",1994,613,697
"Toronto Blue Jays",1994,566,579
"Atlanta Braves",1995,645,540
"Baltimore Orioles",1995,704,640
"Boston Red Sox",1995,791,698
"California Angels",1995,801,697
"Chicago White Sox",1995,755,758
"Chicago Cubs",1995,693,671
"Cincinnati Reds",1995,747,623
"Cleveland Indians",1995,840,607
"Colorado Rockies",1995,785,783
"Detroit Tigers",1995,654,844
"Florida Marlins",1995,673,673
"Houston Astros",1995,747,674
"Kansas City Royals",1995,629,691
"Los Angeles Dodgers",1995,634,609
"Minnesota Twins",1995,703,889
"Milwaukee Brewers",1995,740,747
"Montreal Expos",1995,621,638
"New York Yankees",1995,749,688
"New York Mets",1995,657,618
"Oakland Athletics",1995,730,761
"Philadelphia Phillies",1995,615,658
